id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
486,一模一樣,0,0,0,0,1,0,471,4374,2305,46,550,16,7762
581,獨一無二,0,1,0,0,0,0,95,4064,1802,14,68,55,6098
369,五花八門,0,0,0,0,1,0,33,4232,1166,3,75,6,5515
430,一舉一動,0,0,0,0,1,0,54,2907,1457,10,74,4,4506
224,一年一度,0,0,0,0,1,0,61,2427,1551,3,116,69,4227
27,亂七八糟,0,0,1,0,0,0,304,1958,1216,116,458,56,4108
603,接二連三,0,1,0,0,0,0,25,2867,1128,15,33,4,4072
930,四面八方,0,0,0,0,1,0,25,2554,499,8,52,8,3146
72,數一數二,0,1,0,0,0,0,38,1842,729,8,148,16,2781
781,半信半疑,0,0,0,0,1,0,73,1760,861,1,41,3,2739
945,成千上萬,0,1,0,0,0,0,28,1794,729,7,76,4,2638
174,一清二楚,0,0,0,0,1,0,94,1499,910,26,91,4,2624
288,三更半夜,0,0,0,0,1,0,63,1560,818,44,48,12,2545
641,一落千丈,0,0,0,0,1,0,16,1650,780,0,37,1,2484
946,五顏六色,0,0,0,0,1,0,19,1938,449,1,37,3,2447
444,四通八達,0,0,0,0,1,0,2,1354,1036,0,18,1,2411
658,一波三折,0,0,0,0,1,0,6,1749,632,1,8,3,2399
124,七嘴八舌,0,0,0,0,1,0,18,1734,536,3,23,2,2316
564,千奇百怪,0,0,0,0,1,0,36,1587,579,3,60,6,2271
387,千篇一律,0,0,0,0,1,0,54,1601,485,4,62,11,2217
778,一乾二淨,0,0,0,0,1,0,50,1359,616,17,59,2,2103
702,千變萬化,0,0,0,0,1,0,9,1633,392,0,24,3,2061
677,千方百計,0,0,0,0,1,0,23,1256,610,4,42,0,1935
659,千辛萬苦,0,0,0,0,1,0,26,1208,564,9,44,5,1856
819,說三道四,0,1,0,0,0,0,38,1170,536,5,60,0,1809
353,一心一意,0,0,0,0,1,0,31,1296,358,5,19,11,1720
552,一來一往,0,0,0,0,1,0,59,792,594,6,53,13,1517
76,一知半解,0,0,0,0,1,0,30,1063,312,9,59,2,1475
695,十全十美,0,0,0,0,1,0,34,1051,341,4,15,11,1456
150,正經八百,1,0,0,0,0,0,20,731,631,3,17,8,1410
965,五光十色,0,0,0,0,1,0,0,1028,343,0,13,6,1390
212,千呼萬喚,0,0,0,0,1,0,3,1140,170,0,11,1,1325
891,一板一眼,0,0,0,0,1,0,18,720,363,0,20,58,1179
563,感慨萬千,1,0,0,0,0,0,6,799,341,1,11,1,1159
216,千瘡百孔,0,0,0,0,1,0,11,725,388,3,13,1,1141
881,千千萬萬,1,1,1,1,1,1,41,657,288,23,117,7,1133
889,一生一世,0,0,0,0,1,0,17,572,503,3,17,10,1122
280,四分五裂,0,0,0,0,1,0,11,674,375,5,29,0,1094
874,四平八穩,0,0,0,0,1,0,3,805,265,0,21,0,1094
206,千頭萬緒,0,0,0,0,1,0,5,842,211,3,10,1,1072
766,一分為二,0,0,0,1,0,0,5,682,365,1,17,1,1071
62,一言一行,0,0,0,0,1,0,13,626,398,4,21,0,1062
765,千言萬語,0,0,0,0,1,0,15,763,236,10,15,22,1061
944,萬無一失,0,0,0,0,1,0,7,621,389,3,23,1,1044
744,一朝一夕,0,0,0,0,1,0,14,815,183,3,22,0,1037
772,半推半就,0,0,0,0,1,0,27,451,488,5,12,1,984
786,七上八下,0,0,0,0,1,0,4,733,233,2,10,0,982
640,三位一體,0,0,0,0,1,0,22,646,232,3,74,2,979
151,三三兩兩,0,0,0,0,0,1,6,834,62,1,12,1,916
539,千絲萬縷,0,0,0,0,1,0,2,565,276,1,6,0,850
366,三姑六婆,0,0,0,0,1,0,66,475,233,14,55,5,848
241,三令五申,0,0,0,0,1,0,4,610,212,0,9,0,835
595,十拿九穩,0,0,0,0,1,0,3,553,263,1,11,0,831
510,七手八腳,0,0,0,0,1,0,1,672,154,2,0,0,829
373,百戰百勝,0,0,0,0,1,0,13,541,206,1,47,3,811
291,百依百順,0,0,0,0,1,0,30,247,464,4,18,7,770
797,九牛一毛,0,0,0,0,1,0,9,444,292,0,21,1,767
734,九牛二虎,0,0,0,0,1,0,3,561,154,1,8,0,727
117,一了百了,0,0,0,0,1,0,20,466,182,7,27,0,702
55,七情六慾,0,0,0,0,1,0,6,306,360,2,20,2,696
706,五湖四海,0,0,0,0,1,0,1,587,93,0,10,2,693
374,七零八落,0,0,0,0,1,0,9,528,138,2,12,1,690
337,一五一十,1,1,1,1,1,1,16,386,267,3,15,0,687
380,一擲千金,0,0,0,0,1,0,1,453,219,0,5,4,682
303,一絲一毫,0,0,0,0,1,0,13,524,128,3,13,0,681
95,千鈞一髮,0,0,0,0,1,0,5,499,161,1,12,1,679
618,顛三倒四,0,1,0,0,0,0,13,460,170,9,17,1,670
144,十萬火急,0,0,0,0,0,1,5,543,81,4,8,1,642
844,三十而立,0,0,0,0,0,1,6,428,172,2,15,11,634
56,一年半載,0,0,0,0,1,0,13,424,147,4,29,3,620
739,千軍萬馬,0,0,0,0,1,0,1,466,121,2,15,8,613
932,千山萬水,0,0,0,0,1,0,0,417,166,0,4,3,590
